, $650.00 , $700.00 , $450.00 , $900.00 , $350.00 , $600.00 ," $1,100.00 ", $150.00 ,,,,,, $52.67 , $30.00 ,, $161.85 ,,,,
EMPRESA, PROGRAMACIÓN PLC HMI,SERVOMOTOR,DISEÑO TABLERO,DISEÑO MECANICO,INSTALACIÓN ,FABRICACIÓN,SOPORTE,ARQUITECTURA,TIEMPO PLANTA,TOTAL,MATERIALES,TOTAL 30%,VIÁTICOS,HR CAMIONETA,GASOLINA,TIEMPO INVEST,GASTOS GENERALES,TOTAL ,3% CREDITO,TOTAL VENTA,DESCUENTO 5%
SADDLEBACK,,,,,,,,, -   , $-   ,, $-   ,, $-   , $60.00 ,, $-   , $60.00 , $1.80 , $61.80 ,
PILSAC,,,,,,,,, -   , $-   ,, $-   ,, $-   , $36.00 ,, $-   , $36.00 , $1.08 , $37.08 ,
BRUSAROSCO,,,,,,,,, -   , $-   ,, $-   ,, $-   , $48.00 ,, $-   , $48.00 , $1.44 , $49.44 ,
HIELO REGIA,,,,,,,,, -   , $-   ,, $-   ,, $-   , $120.00 ,, $-   , $120.00 , $3.60 , $123.60 ,
AEROPUERTO,,,,,,,,, -   , $-   ,, $-   ,, $-   , $216.00 ,, $-   , $216.00 , $6.48 , $222.48 ,
PRELOSA,,,,,,,,, -   , $-   ,, $-   ,, $-   , $150.00 ,, $-   , $150.00 , $4.50 , $154.50 ,
TENERÍA VARGAS,,,,,,,,, -   , $-   ,, $-   ,, $-   , $60.00 ,, $-   , $60.00 , $1.80 , $61.80 ,
SOSER,,,,,,,,, -   , $-   ,, $-   ,, $-   , $48.00 ,, $-   , $48.00 , $1.44 , $49.44 ,
ARCOSA,,,,,,,,, -   , $-   ,, $-   ,, $-   , $642.00 ,, $-   , $642.00 , $19.26 , $661.26 ,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
