id,nombre,nombre_comercial,direccion_encriptada,rfc_encriptado,contacto_nombre,contacto_email_encriptado,contacto_telefono_encriptado,km_distancia,horas_viaje,tipo_cliente,creado_por,creado_en,actualizado_en
4d78fc6e-f4b4-4447-98c7-09eb0cb3cc1e,JARDÍN LA ALEMANA,,"ww0EBwMCSh82835h4SBk0jsBHrJ/+yvS3BVb7oIJCRFWpR7S/AkacRuak6HYRP3oCDvLr+9ly8v5
1UGRzw9wl7obYYP4zdIfYw9ixw==","ww0EBwMCbep2I43x6SZz0j0BNxJwLx0n5yPzBiIgqnYFsanXJcSxIv43pD5bt7BmyGIhv8i+w6gd
J+B7bijHggAq1rY8ZwJ0HJlJegz1",Admin,"ww0EBwMCFxrSM0HSaf580kgBtxppF832LFseaw8/5WOVRg5CCYXkXF0BuHsPlUBBA1eSfDkANVJK
IkgnMoXwjtuzkYH1vKx5uiSZa6DFuHN6e1bhOJnJnww=","ww0EBwMCxVgWdlRQ7NN80jsBxiC3I3mqiuHP9orrDqzS04N/XLWsNWjl9k1RepIf9uUvPhouNMIk
WQWBwlDQ8v9wPr24eX7FcgPXIg==",12.00,2.00,industrial,,2026-02-26 15:04:03.371659+00,2026-02-26 15:04:03.371659+00
4de88cdd-8060-4e1c-8523-7c7c01c17270,SUACERO,,"ww0EBwMCdNT0uJ9wRKJl0jQBcJKpKP3Ou83JWNxmt0FCPNFJpmdRaB5NyQH9w5pi9SdR8PNkc5Fu
IBWbbY2W79rgbH9t","ww0EBwMCQ/Qw0AI6xjxw0j0ByGBpBh12hGiRAssqz8Q/P6P7Kz3EdPuF3cA8IBN3OuNxZ+SBZed/
dUF1WoK6txImtciLuYBTqScGw4d+",Planta,"ww0EBwMCR3FFBkC9rmtt0kMBbtKWr+geJZ3DgQMAAKV3dOE4y7USOUHZr8q+eGhbPirTuQMkFqqT
+40oy2Tt+1v4iWLlIcQoSJ4hyIyDAbfl+AFq","ww0EBwMCaoFBo0YTlaN30jsBJEBmycQr/Ec1/CLGZw7cZMKtZ53nh+z6Ge6SBMiQrHoDS3qA4iKk
lByhNJTRwx4eH/uTDAhEMSismw==",392.00,8.00,industrial,,2026-02-26 15:04:03.371659+00,2026-02-26 15:04:03.371659+00
4e4a1e17-4462-402a-97b1-5955ecf8c0d9,MICROONDA,,"ww0EBwMCMXHzbGzb3rd40jsBxexVxdXtqE9LctP0j9xHX0oVnIXwtCw4uGxwccgtVRNZRaykeyvp
tY7RUviltVz9/E5tOE+0X+QoSA==","ww0EBwMCVKk3vzhiryZy0j0BHbPHwLvQC5qxp7g3BwWEqCF6KeiF3oy91A2gllTzu+xbDt5LiEEQ
whq2UR4S1wyyVTlUx79NUoFtfwU+",Sistemas,"ww0EBwMCzMaOuApME7Bg0kcB3C8Pe8zkL3SN5dGU0HeYs7HUIEM6uQoisQMf8/sOfuUageLMmM8R
v+/rQY50IlAfEAdFStskv9tqZTaKCL0a84eKdQXLGQ==","ww0EBwMCsj9R8eqAwB5n0jsB1l7RmS0+ViJNPUsIKcFozJzIor8w6SuiFBJrhY8BDwZop8I9yYmx
GDoycxLi2cXVJxE+FB4xwbougg==",41.60,3.00,industrial,,2026-02-26 15:04:03.371659+00,2026-02-26 15:04:03.371659+00
50696f94-b3df-4d19-8dc8-6c0508b7dff1,SERVIACERO ELECTROFORJADOS,,"ww0EBwMCfFwHQlSeCOxm0jsBwOS4KN0hbslj54SxSROXVP2UYCO4JFfSWDR25udQsXNaq4oX+dLB
ileA5EcvFoY28Hoz76nhbtt2sA==","ww0EBwMCrXIArTu/DJ9z0j0BwbgVwCtcL1E4aJX1+2miNEwG2SgXPRS1a77xVL9Wd1lEPFuZ6+wt
ur0b5Ez0SXswyXQVC/0WlbMzyTwA",Mtto,"ww0EBwMCiDn1xXerjXV90kQB5pYqoUPsTaD9qtaHoQ3NXS+Y75FfOd5Cp+JANAsu3pwoeuuHmmyq
7plip04zIe0CxJ5idnabp2A9CngWCBzoMC9h7Q==","ww0EBwMCXEkriID+QP5u0jsBhe7hQtXxbK0r0sICfbuw9BVQMS4Q4gIHBjRsFKRTsFSAJp8u7M1Z
T1UoIuKTxJrCj37QnPaIgkjjBA==",14.60,2.00,industrial,,2026-02-26 15:04:03.371659+00,2026-02-26 15:04:03.371659+00
57b2dc24-e453-44d2-9ede-82a327d02d27,BADER TABACHINES,,"ww0EBwMCqEMfETBrcsJg0k8BtXT1ZE4WLdHEV4jsI/CodbxwEw3FeGfPBoeoF4OBOUrLvQlLlRZh
6wKCZrMopnQQxg34vrtcKsijU4Zocl1zac4QX3B7QXTS0KdVkOPS","ww0EBwMCa6X6JJ4gB4Jx0j0B0Ejdvr7y6TFMIjqvG1SeJuD5+/o58zGDScjPP2rheZcBzRJ6MyMb
goM/Zcnk2+79EvCZbnJgO8E6//Sm",Mantenimiento,"ww0EBwMClHuwGE3j9aBq0kgBRBk4KYVMyJQdoms6R64gOOaJJAN65Ts7rlOjr3KjMr/0ZCBcQ7z3
IcUNbQWpgFVQ0HMjuouYMqnKqFLJVqwlwVAC/fJWf7E=","ww0EBwMCZsYORkeBRI570jsBgNL5iPErAqJwbdY/7XckGAlyzNqzSjvI6TINRv3de532XYgmkQRU
jCiHqjcB4WJoHa6NlfSsQNkCGQ==",17.20,2.00,industrial,,2026-02-26 15:04:03.371659+00,2026-02-26 15:04:03.371659+00
6061a6c7-fdc2-4cd2-8412-79e5597be1da,ECOBOLSAS,,"ww0EBwMCG2k3ShOVkal00k0BxxfM3JLzE5wvnpGhNUj1Ifs3NHy3aKXCFQv+zFcfe5t07vn5pKiu
Wlktb7xRnj3YLSqvD2u7Yf3JPWRyV3/6s70o+x6rkqYudDsoVw==","ww0EBwMC0RpGOCLxTWVj0j0ByBk5UWuf3MbuIfb2VgDcOVs/S9XTzJ8Zk+GKJQBmTtQfCdVR5luc
aIbnRQQcrCL2vRMHHWGvHWd88hvY",Gerente Planta,"ww0EBwMCbIrolbsa9tZu0kYBZs3acqh4E6qm3Z5NOyQExsK7d064ui0NZyNQmjOHR4ZUfgUC+YTc
Xfh7iRsEdE11t3eQQymfUIEbK6nyRyee8rzxJ5Oc","ww0EBwMC4sktCeRQI2J40jsBQw6MtcYoIMcHYVdKkjbVwhN/LgFD8rf2tj4h/wumdbpHSEhhpK9u
AFCvy+dqP3TkN962GL9Ke5PhGA==",216.00,5.00,industrial,,2026-02-26 15:04:03.371659+00,2026-02-26 15:04:03.371659+00
67e8467d-1a65-4236-8ac3-41ebb5f106a3,EMMSA,,"ww0EBwMCs8gYRYIF39ti0jsB3oxvVr7NlCz41aVgoOvSrzvT/3RVHLdH+ihs/r+67syho5c7cTxM
hT35okk5pW6nBGj7aV8jW34eYg==","ww0EBwMCEwaaljgazaZi0j0BaTzCD6XYdn4Jv6Rl2Hrg6w5mBUR8IJkEdq6P8uMEm3nw3Syaroza
eNWbJc1W6O+oZsZ7yOvfyCQzFat7",Almacén,"ww0EBwMCkahJ6bxWLKNv0kIBRvrbBtJczEeYcLsGXMdl1xwXCoSbN7+IYFBlD0Wqq2Q38bMyepHf
kJbdgip0vz9ar6inViMGhoKVCGCLW78UmR8=","ww0EBwMCBEoXzuCWlQpi0jsBclkbFaKyG9Z8PBfr9Imj/VlEpgVfP8V7h9P9bEF5ZLXeHkVNCSkE
uhihnh7Xhn564ThzkQAQVHtdoA==",21.60,2.00,industrial,,2026-02-26 15:04:03.371659+00,2026-02-26 15:04:03.371659+00
6a78d61b-9b7f-4ffd-b45a-af1a096dfa45,HALL PLANTA 1,,"ww0EBwMC9r8AYhBG7xNo0lMBE+Px4JxBUIi3Nd+K+aOPaGwsKAZEQH/jnuejzbgFi0WUKQfl13MC
+vXP8cCLG4N8eQWuWRXgLs9Y8AZwxV86gg+fSuKbagKaUAcu5dnY1t0XFA==","ww0EBwMCtEOQAXeM7d560j0Ba+BpDcxgYbj2AIU4NoGd3MBic8kobKXQak1+wTp9Rm6FhV0PSbFU
gPUezeW3Y7a8BIJQeuypcQRVrA1r",Ing. Control,"ww0EBwMCMg8Cp3wvNgNu0kEBx+54dfKufY/HVH7O/DBJS1z4cnTfavQ2fY/O55SZf96t25pnfutC
KKsdCvJJHKBxcM5vI7JtIfMPaR6aG6TOig==","ww0EBwMCtqHZ2tWIqAp20jsBnPdQRPxs8CBIDqaSDqeyFcXib+9h5u6eEOc86FY2e3Sw72OPZINi
tT5Vz0DAlzS0QmjjvqMVkPAjoQ==",73.80,3.00,industrial,,2026-02-26 15:04:03.371659+00,2026-02-26 15:04:03.371659+00
6e8b2f3d-7a27-4d1e-b631-d3fda53dfeac,BODYCOTE,,"ww0EBwMCTOAWXBu7F2Bo0lIB0IiD5HmHc3XEMmXw/0eiDpvphgXZ5jFqE/0klkpC62fMdJdfHxap
t6TuJSO+PxY5Cf362r63x2gUsAz5ez/ejUnq/xnDZPGenumMYt2LhYm7","ww0EBwMCQ/ZT+GGItmp+0j0BMgph26qigSvZDxDWCGQRr7a7lBXKKeZx+ZXfNA+lwJKUgHnZ0KMp
72tBZjB3ItR5K9jHw1lGjukxyUg9",Ing. Proyectos,"ww0EBwMCzcA++cQYU11z0kcB09UrwuLDfvqMfBGhOJb/hEO0n3m9El+AAguovOgeJvPBdCls0e8k
5Rhxh7wPx7urFe85Kw2SZPAU0fb4tM7NUiBgG7rlEw==","ww0EBwMCT1lYTO+SCkh10jsB+QS3OeqPXrx/U/8i2LRRMTxVCWaKYm7C9Dzc2cEyKLsL4R5p9r5k
Dv7kFQ63xnSoU+JR1fnSBmXeLA==",90.60,3.00,industrial,,2026-02-26 15:04:03.371659+00,2026-02-26 15:04:03.371659+00
71599959-85ee-4238-b731-58843208f607,NHK,,"ww0EBwMCQBmXESrBe29x0jwBc6mJ9A8XmN7On6ClLaIQxl/fV6Sgi8ft1V+P184UwVxNaTdo5UyZ
2pp0shaMmWdLaIPsTIDH+PirPq0=","ww0EBwMCmbVmFnlXnGFn0j0BHN9mPgxJcDtwIRdlfwpCySN6e8lO4bxP8f9FfdAYMZRACNKshORC
1Nk6K/M0+JaCkbzzPuSmkWhkVn/B",Mtto,"ww0EBwMCZv+pHqX9NvN00j0BnIEjlKGjcejQVsUCDce6eBTanjG5vgMaKGG4BdfKs1uAw2NX9q8H
65t6Mp11kXgYAp00zmfbB3YkX8FT","ww0EBwMCA2StVuxoSUl50jsBMxPAgWvyotQXb1oLnGIDJkNpdBdAKP7X4kG9ipg+hqJGvqSC/kiV
Qu36lu+TJz1rCrHIPftyf6uDKw==",138.60,4.00,industrial,,2026-02-26 15:04:03.371659+00,2026-02-26 15:04:03.371659+00
7a470f96-1a4e-457a-a700-7b19df077ce6,MAFLOW,,"ww0EBwMC4wPX3NYqEaVk0jsB3xOc6GfbdTrv3eJ0Tem0N8GjU/45rE30vLQXSe2onp2qWLb2TO5I
AKSgAHkHtex7tFbxOa0ZSOzdUw==","ww0EBwMCKI9dXKBnze560j0BQorDT3MShyzFe0p4aZsjzBcDE44Sq8KkpKKbD2VE+NM2ISU3rDNy
SBiFiSuhrqM2KFclxOIuOptcD8Jy",Ingeniería,"ww0EBwMCTcvufYAknsdw0kYBr0OjbX2kb+6OMDEL7+/OVAhW6QnzgMa20HUq2LCcoSIZ1LAtTZa0
r4YITYKwSSnz3WUDymZ9EmySmUP3gOWKhxisGjBs","ww0EBwMCkXCR77AeXG5s0jsBk6YSlCdw+YKPCBeyg+T4DJjcy9fANiiAr1DUHsgl2eHETpdwZDkW
Wu26bb7zIQgFkqqr2PcTo3Z7gg==",59.80,3.00,industrial,,2026-02-26 15:04:03.371659+00,2026-02-26 15:04:03.371659+00
7f552c46-5f72-4b9f-8cc9-18872fed383b,ANGUIPLAST,,"ww0EBwMC3J+11FmtN+R20lYBoCMBCZxGtt3W58d2X7yg+dSPWM+RkaR39FSy2rJj0B3f5VCkyyKT
zksGZUFZJfMpBBezTiq2PWpLTyOfHG347NxwTmIJrk1X6fgNr54O7WiS4CsMdw==","ww0EBwMCqSFOxuOEhCpl0j0BXxFJ8F3WMdegT5AOQ6AtSSw0pMwzNg1eAyQG7bxw7SEiBv3tPO0x
2y9epxlWI7BFu50nWDF3LmgBtOx8",Ing. Compras,"ww0EBwMCibOcG07DRJt/0kcBycNvtQAaktj7qCairhO8gYqfWfDNO/Od1EGKTNvjfN3L4Gqvidaa
HmfsMx1hJSY90IEKqX5slNWCQCHxGaZdi/k87ZiOxA==","ww0EBwMCEPvYb5wUoIF20jsBQQfGOj9acROCfBzIX1y43+Xhyz5RWUypt4dmavOj9jQrLS/pSYI3
qiwAcqSOWby7VzvOEVzaszFwPw==",234.00,6.00,industrial,,2026-02-26 15:04:03.371659+00,2026-02-26 15:04:03.371659+00
